submission_id,age,assignment,comments,condition,correct1,correct2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,image,languages,response,response_time
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,A,4226
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e09_1917-233.3.jpg,German,A,2754
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,B,3049
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e41_3583-766.7.jpg,German,A,5577
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e07_1500-900.jpg,German,A,2693
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e49_4000-900.jpg,German,B,1699
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e01_1500-100.jpg,German,B,2083
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e07_1500-900.jpg,German,A,1792
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,B,3125
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e09_1917-233.3.jpg,German,B,1839
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,A,2627
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e41_3583-766.7.jpg,German,B,1608
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e07_1500-900.jpg,German,A,1603
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e49_4000-900.jpg,German,A,2698
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e01_1500-100.jpg,German,B,1536
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e07_1500-900.jpg,German,A,1379
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,B,1712
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e09_1917-233.3.jpg,German,B,1504
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e13_1917-766.7.jpg,German,A,2415
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e41_3583-766.7.jpg,German,A,2267
65,30,2,Ich grüße alle meine Fans!,1,B,A,Graduated College,470731,1648642275911,1648641805180,male,images/e07_1500-900.jpg,German,A,1277
65,30,2,Ich grüße alle meine Fans!,1,A,B,Graduated College,470731,1648642275911,1648641805180,male,images/e49_4000-900.jpg,German,B,1539
